0,6

3,2
7,2
12,2
20,2
10,3
13,3
3,4
7,4
5,7
11,7
23,7
25,7
0,8
10,8
15,8
21,10
0,11
10,11
25,11
6,12
16,12
18,12
20,12
25,12
3,14
8,14
12,14
0,16
10,16
15,16
18,16
2,17
3,17
27,18
18,19
3,21
7,21
13,21
20,22
6,23
25,23
6,25
7,25
0,26
7,26
10,26
26,26
11,28
15,29
2,30
6,30
0,31
26,31
6,33
10,33
16,33
22,33
17,35
28,35
25,36
18,37
20,37
13,38
17,38
25,38
1,39
5,40
15,40
17,40
21,40
22,40
27,42
15,45
22,45
13,46
0,49
8,49
12,49
15,49
20,49
21,49
6,50
18,50
7,51
21,51
27,51
22,52
28,52
3,53
20,53
28,53
13,54
